City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
298,Pachora,IN,83.71,overcast clouds,20.6667,75.35,Vishal Avinash patil
304,Mecca,SA,84.36,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
307,Buchanan,LR,76.96,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
310,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
311,Sur,OM,81.55,clear sky,22.5667,59.5289,Sur Plaza Hotel
313,Palmas Bellas,PA,80.26,overcast clouds,9.2319,-80.0867,Estación de Chagres
317,Bontang,ID,80.74,moderate rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
323,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Bungalow 63
334,Nanakuli,US,76.98,scattered clouds,21.3906,-158.1547,Camp Pālehua
337,Caraballeda,VE,78.37,few clouds,10.6112,-66.8522,Hotel 15 Letras
341,Bowen,AU,88.02,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
344,Jaitaran,IN,85.51,broken clouds,26.2031,73.9364,"Sheetal Bhoomi Seervi Resort, Bhakarwas"
353,Kudahuvadhoo,MV,83.21,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
354,Tezu,IN,82.18,clear sky,27.9167,96.1667,Circuit House
355,Kingaroy,AU,80.64,broken clouds,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
356,Boa Vista,BR,76.98,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
358,Lazaro Cardenas,MX,76.48,broken clouds,17.9583,-102.2,quinta antigua
361,Mazagao,BR,80.65,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
363,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
364,Umm Lajj,SA,82.78,clear sky,25.0213,37.2685,Moon light Furnished Units
367,Ponnani,IN,85.32,broken clouds,10.767,75.9252,Rouba Residency
369,Victoria Point,AU,84.81,overcast clouds,-27.5833,153.3,Bay Retreat Motel
375,Mackay,AU,85.98,scattered clouds,-21.15,149.2,International Lodge Motel
377,Iracoubo,GF,78.21,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
378,Namatanai,PG,85.03,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
379,Vanimo,PG,86.09,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
385,Abu Dhabi,AE,80.71,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
387,Haapiti,PF,76.73,scattered clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
397,Kahului,US,77.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
400,Dajal,PK,85.64,clear sky,29.5577,70.3762,LADLA CHOUDHARY HOUSE
405,Loharu,IN,84.61,clear sky,28.45,75.8167,Sainik Guest House
415,Wau,SS,79.93,overcast clouds,7.7029,27.9953,Universal Gab Hotel
418,Acapulco,MX,77.13,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
426,Singaraja,ID,85.96,moderate rain,-8.112,115.0882,Puri Bagus Lovina Resort
428,President Roxas,PH,88.36,scattered clouds,7.1544,125.0558,Tiad Residence
431,Atambua,ID,82.49,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
433,Kasama,ZM,79.81,broken clouds,-10.2129,31.1808,Kalebalika Cottages
434,Da Nang,VN,82.38,broken clouds,16.0678,108.2208,Sun River Hotel
437,Mount Isa,AU,89.37,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
441,Kang,BW,81.12,overcast clouds,-23.6752,22.7876,Kang Ultra Stop
449,Pemangkat,ID,85.08,broken clouds,1.1667,108.9667,Ramah Kost KITA
456,Bengkulu,ID,84.96,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
460,Cayenne,GF,80.1,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
461,Salalah,OM,82.31,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
463,Cabedelo,BR,77.67,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
464,Inhambane,MZ,78.78,scattered clouds,-23.865,35.3833,Oceano
465,Paharpur,PK,82.4,clear sky,32.1038,70.9724,Mama hotel
473,Ugoofaaru,MV,80.82,moderate rain,5.6667,73.0,Ungoofaaru Inn
