City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Bocas Del Toro,PA,9.3333,-82.25,77.94,81,99,6.33,overcast clouds
79,Yar-Sale,RU,66.8333,70.8333,16.0,91,94,6.73,overcast clouds
80,Port-Gentil,GA,-0.7193,8.7815,76.96,94,75,8.05,light rain
81,Saint-Augustin,CA,51.226,-58.6502,36.7,97,100,7.76,overcast clouds
82,Ken Caryl,US,39.5773,-105.1169,57.16,19,0,1.01,clear sky
83,Cherskiy,RU,68.75,161.3,-3.06,100,89,5.75,overcast clouds
84,Sobolevo,RU,54.4299,31.8996,42.69,83,100,15.32,overcast clouds
85,Kavieng,PG,-2.5744,150.7967,85.64,68,12,15.86,few clouds
86,Krugersdorp,ZA,-26.0858,27.7752,63.73,86,100,15.68,overcast clouds
87,Ilulissat,GL,69.2167,-51.1,-3.77,73,3,7.0,clear sky
88,Bathsheba,BB,13.2167,-59.5167,81.21,74,40,13.8,scattered clouds
89,Ponta Do Sol,PT,32.6667,-17.1,66.83,63,13,5.77,few clouds
90,Pangai,TO,-19.8,-174.35,77.11,88,90,0.0,moderate rain
91,Chernyshevskiy,RU,63.0128,112.4714,24.91,92,100,10.56,light snow
92,Esperance,AU,-33.8667,121.9,67.84,60,100,17.36,overcast clouds
93,Hofn,IS,64.2539,-15.2082,39.02,98,100,17.18,heavy intensity rain
94,Vaini,TO,-21.2,-175.2,77.16,100,90,2.3,moderate rain
95,Pontes E Lacerda,BR,-15.2261,-59.3353,65.88,97,86,0.89,overcast clouds
96,Bethel,US,41.3712,-73.414,49.01,74,1,0.0,clear sky
97,Yulara,AU,-25.2406,130.9889,75.04,64,90,10.36,overcast clouds
98,Kruisfontein,ZA,-34.0033,24.7314,57.88,88,100,6.46,light rain
99,Monkey Hill,KN,17.3167,-62.7167,78.69,88,56,14.7,broken clouds
100,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,65,20,8.01,few clouds
101,Bukachacha,RU,52.9833,116.9167,23.38,48,25,4.09,scattered clouds
102,Fergus Falls,US,46.283,-96.0776,46.17,76,1,10.36,clear sky
103,Cidreira,BR,-30.1811,-50.2056,61.0,75,6,2.39,clear sky
104,Mount Gambier,AU,-37.8333,140.7667,62.51,51,90,9.22,overcast clouds
105,Nyurba,RU,63.2842,118.3319,27.0,89,100,8.9,overcast clouds
106,Puerto Ayora,EC,-0.7393,-90.3518,68.85,83,30,8.19,scattered clouds
107,Mahebourg,MU,-20.4081,57.7,82.26,73,75,12.66,broken clouds
108,Praia Da Vitoria,PT,38.7333,-27.0667,69.76,83,40,17.78,scattered clouds
109,Atuona,PF,-9.8,-139.0333,78.15,77,8,17.38,clear sky
110,Nikolskoye,RU,59.7035,30.7861,37.87,97,100,13.49,moderate rain
111,Chuy,UY,-33.6971,-53.4616,51.84,87,11,1.25,few clouds
112,Albany,US,42.6001,-73.9662,42.53,77,10,3.69,clear sky
113,Saint-Philippe,RE,-21.3585,55.7679,81.95,74,39,11.39,scattered clouds
114,Tiksi,RU,71.6872,128.8694,14.41,78,100,25.01,overcast clouds
115,Vila Franca Do Campo,PT,37.7167,-25.4333,69.19,81,28,8.79,scattered clouds
116,Luderitz,NA,-26.6481,15.1594,60.93,67,0,14.16,clear sky
117,Wenling,CN,28.3669,121.36,55.29,53,40,16.98,scattered clouds
118,Prieska,ZA,-29.6641,22.7474,63.99,50,100,12.91,overcast clouds
119,Erzin,TR,36.9559,36.2,54.12,27,25,2.64,scattered clouds
120,Mirabad,AF,30.4362,61.8383,61.66,30,42,8.48,scattered clouds
121,Souillac,MU,-20.5167,57.5167,82.36,73,75,12.66,broken clouds
122,Baykit,RU,61.67,96.37,31.59,90,100,10.49,overcast clouds
123,Udachnyy,RU,66.4167,112.4,20.73,88,85,10.49,overcast clouds
124,Cabo San Lucas,MX,22.8909,-109.9124,80.51,46,37,3.0,scattered clouds
125,Harper,LR,4.375,-7.7169,77.79,87,86,3.67,light rain
126,Hamilton,US,39.1834,-84.5333,47.77,79,1,0.0,clear sky
127,Grindavik,IS,63.8424,-22.4338,41.47,100,90,32.21,overcast clouds
128,Bluefields,NI,12.0137,-83.7635,73.67,96,96,7.02,overcast clouds
129,Laguna,US,38.421,-121.4238,52.3,78,1,0.0,clear sky
130,San Quintin,MX,30.4833,-115.95,60.31,88,12,2.55,few clouds
131,Paamiut,GL,61.994,-49.6678,20.71,68,17,9.53,few clouds
132,Adrar,MR,20.5022,-10.0711,67.12,26,91,8.57,overcast clouds
133,Maragogi,BR,-9.0122,-35.2225,76.48,87,15,7.49,few clouds
134,Sosnovo-Ozerskoye,RU,52.5249,111.5418,24.1,73,93,13.04,overcast clouds
135,Troitskoye,RU,52.9821,84.6757,33.71,53,91,11.59,overcast clouds
136,Taree,AU,-31.9,152.4667,79.07,64,76,17.27,broken clouds
137,Zhuhai,CN,22.2769,113.5678,75.97,68,20,24.16,few clouds
138,Vila,PT,42.0304,-8.1588,42.33,91,93,4.81,overcast clouds
139,Shubarkuduk,KZ,49.1447,56.4872,39.63,30,100,7.74,overcast clouds
140,Broken Hill,AU,-31.95,141.4333,71.31,35,100,6.91,overcast clouds
141,Lompoc,US,34.6391,-120.4579,59.31,66,1,6.91,clear sky
142,Gabu,GW,12.2833,-14.2167,72.84,92,48,3.83,scattered clouds
143,Aosta,IT,45.7667,7.4167,35.35,41,32,5.7,scattered clouds
144,Sarahan,IN,31.5167,77.8,60.53,19,0,2.17,clear sky
145,Santiago Del Estero,AR,-27.7951,-64.2615,66.81,69,40,3.2,scattered clouds
146,Redmond,US,47.674,-122.1215,45.59,88,100,4.0,overcast clouds
147,Airai,TL,-8.9266,125.4092,69.93,80,94,0.96,overcast clouds
148,Jiayuguan,CN,39.8167,98.3,32.76,20,5,2.68,clear sky
149,Cap-Aux-Meules,CA,47.3821,-61.8597,46.42,87,2,9.22,clear sky
150,Samarai,PG,-10.6167,150.6667,85.35,73,5,14.27,clear sky
151,Shuangyang,CN,43.5242,125.6736,35.56,96,100,17.87,light rain
152,Bandarbeyla,SO,9.4942,50.8122,81.09,58,71,12.46,broken clouds
153,Lavrentiya,RU,65.5833,-171.0,10.62,91,8,7.45,clear sky
154,Abinsk,RU,44.8726,38.1611,55.56,86,100,5.17,overcast clouds
155,Nokaneng,BW,-19.6667,22.2667,82.9,37,95,8.5,overcast clouds
156,Muisne,EC,0.6,-80.0333,74.21,85,100,9.42,overcast clouds
157,Portland,US,45.5234,-122.6762,47.75,91,90,1.01,overcast clouds
158,Wahpeton,US,46.2652,-96.6059,46.92,87,40,9.22,scattered clouds
159,Provideniya,RU,64.3833,-173.3,17.71,79,90,6.71,overcast clouds
160,Lubaczow,PL,50.157,23.1234,43.29,84,100,10.8,overcast clouds
161,Victoria,HK,22.2855,114.1577,76.24,55,23,1.01,few clouds
162,Ileza,RU,61.0533,43.9002,31.26,94,100,3.62,overcast clouds
163,Wajima,JP,37.4,136.9,70.48,52,0,8.05,light rain
164,Elko,US,41.0002,-115.5012,36.23,66,37,8.99,scattered clouds
165,Kralendijk,BQ,12.15,-68.2667,80.58,83,20,11.5,few clouds
166,Diego De Almagro,CL,-26.3667,-70.05,59.5,36,1,0.69,clear sky
167,Kanodar,IN,24.1,72.3833,87.08,21,100,6.22,overcast clouds
168,Lebu,CL,-37.6167,-73.65,52.03,95,68,9.28,broken clouds
169,Muyezerskiy,RU,63.9333,31.65,22.87,90,32,4.54,scattered clouds
170,Honiara,SB,-9.4333,159.95,83.12,74,54,1.36,broken clouds
171,Thompson,CA,55.7435,-97.8558,33.96,86,90,3.44,overcast clouds
172,Aban,RU,56.67,96.06,36.88,63,99,16.2,overcast clouds
173,Flinders,AU,-34.5833,150.8552,74.21,81,36,3.0,scattered clouds
174,Beloit,US,42.5084,-89.0318,54.18,75,1,1.99,clear sky
175,Uni,RU,57.7535,51.4923,34.54,85,100,13.13,snow
176,Makakilo City,US,21.3469,-158.0858,77.32,71,1,4.61,clear sky
177,Karabulak,RU,43.3036,44.8964,50.99,82,91,2.26,overcast clouds
178,Sal Rei,CV,16.1833,-22.9167,73.96,76,100,17.38,overcast clouds
179,Arraial Do Cabo,BR,-22.9661,-42.0278,68.76,78,45,5.95,scattered clouds
180,Oktyabrskoye,RU,43.0645,44.7417,48.34,93,90,2.24,overcast clouds
181,Kuvshinovo,RU,57.0295,34.1725,40.01,89,100,10.22,light rain
182,Fare,PF,-16.7,-151.0167,78.91,76,8,9.46,light rain
183,Datong,CN,40.0936,113.2914,24.21,67,13,4.63,few clouds
184,Hasaki,JP,35.7333,140.8333,70.2,56,42,15.61,scattered clouds
185,Shimoda,JP,34.6667,138.95,68.36,61,65,20.71,broken clouds
186,Zyryanka,RU,65.75,150.85,-3.39,100,98,4.61,overcast clouds
187,Fort Nelson,CA,58.8053,-122.7002,24.39,93,90,2.3,mist
188,Ilesha,NG,7.1371,5.2583,73.69,97,100,1.48,overcast clouds
189,Iqaluit,CA,63.7506,-68.5145,8.33,78,1,15.01,clear sky
190,Saint George,US,37.1041,-113.5841,66.25,29,1,3.0,clear sky
191,Kuntaur,GM,13.6667,-14.8833,76.71,38,41,5.06,scattered clouds
192,Khatanga,RU,71.9667,102.5,-1.75,99,98,7.31,overcast clouds
193,Sao Miguel,BR,-5.4667,-35.3667,79.12,83,44,9.78,scattered clouds
194,Bani Walid,LY,31.7566,13.9942,70.03,29,40,9.82,scattered clouds
195,Bulungu,CD,-4.55,18.6,74.84,86,82,1.01,broken clouds
196,Kitui,KE,-1.367,38.0106,70.29,54,86,7.81,overcast clouds
197,Phan Thiet,VN,10.9333,108.1,86.76,69,36,14.29,scattered clouds
198,Kuusamo,FI,65.9667,29.1833,10.44,92,14,2.3,few clouds
199,Nanortalik,GL,60.1432,-45.2371,30.31,64,100,3.11,overcast clouds
200,Gympie,AU,-26.1898,152.665,77.04,91,98,4.25,overcast clouds
201,Urucara,BR,-2.5364,-57.76,73.45,96,84,0.63,broken clouds
202,Liverpool,GB,53.4106,-2.9779,48.67,85,88,1.01,light rain
203,El Alto,PE,-4.2714,-81.2147,65.97,75,56,12.93,broken clouds
204,Egvekinot,RU,66.3167,-179.1667,0.77,80,51,1.61,broken clouds
205,Kamenka,RU,51.3223,42.7678,42.4,83,100,11.18,overcast clouds
206,Turukhansk,RU,65.8167,87.9833,32.7,98,100,20.38,light snow
207,Najran,SA,17.4924,44.1277,68.65,19,0,7.76,clear sky
208,Morro Bay,US,35.3658,-120.8499,61.21,53,100,7.58,overcast clouds
209,Chapais,CA,49.7834,-74.8492,40.78,98,98,5.21,overcast clouds
210,Vasai,IN,19.47,72.8,89.69,42,33,4.23,scattered clouds
211,Brody,UA,50.0879,25.1503,43.27,85,100,12.35,overcast clouds
212,Faya,SA,18.3851,42.4509,61.32,38,0,3.62,clear sky
213,Beloha,MG,-25.1667,45.05,91.33,26,33,5.41,scattered clouds
